state,type,rate,bracket,cumBracket
New Mexico,single,0.047,16000,32500
New Mexico,single,0.049,Inf,Inf
New Mexico,joint,0.017,8000,8000
New Mexico,joint,0.032,16000,24000
New Mexico,joint,0.047,24000,48000
New Mexico,joint,0.049,Inf,Inf
New York,single,0.04,8200,8200
New York,single,0.045,11300,19500
New York,single,0.0525,13350,32850
New York,single,0.059,20550,53400
New York,single,0.0645,77150,130550
New York,single,0.0665,205850,336400
New York,single,0.0685,1029250,1365650
New York,single,0.0882,Inf,Inf
New York,joint,0.04,16450,16450
New York,joint,0.045,22600,39050
New York,joint,0.0525,26750,65800
New York,joint,0.059,41150,106950
New York,joint,0.0645,154350,261300
New York,joint,0.0665,308750,570050
New York,joint,0.0685,2058550,2628600
New York,joint,0.0882,Inf,Inf
North Carolina,single,0.058,Inf,Inf
North Carolina,joint,0.058,Inf,Inf
North Dakota,single,0.0122,36900,36900
North Dakota,single,0.0227,89350,126250
North Dakota,single,0.0252,186350,312600
North Dakota,single,0.0293,405100,717700
North Dakota,single,0.0322,Inf,Inf
North Dakota,joint,0.0122,73800,73800
North Dakota,joint,0.0227,148850,222650
North Dakota,joint,0.0252,226850,449500
North Dakota,joint,0.0293,405100,854600
North Dakota,joint,0.0322,Inf,Inf
Ohio,single,0.0054,5200,5200
Ohio,single,0.0107,10400,15600
Ohio,single,0.0215,15650,31250
Ohio,single,0.0269,20900,52150
Ohio,single,0.0322,41700,93850
Ohio,single,0.0376,83350,177200
Ohio,single,0.043,104250,281450
Ohio,single,0.0499,208500,489950
Ohio,single,0.05392,Inf,Inf
Ohio,joint,0.0054,5200,5200
Ohio,joint,0.0107,10400,15600
Ohio,joint,0.0215,15650,31250
Ohio,joint,0.0269,20900,52150
Ohio,joint,0.0322,41700,93850
Ohio,joint,0.0376,83350,177200
Ohio,joint,0.043,104250,281450
Ohio,joint,0.0499,208500,489950
Ohio,joint,0.05392,Inf,Inf
Oklahoma,single,0.005,1000,1000
Oklahoma,single,0.01,2500,3500
Oklahoma,single,0.02,3750,7250
Oklahoma,single,0.03,4900,12150
Oklahoma,single,0.04,7200,19350
Oklahoma,single,0.05,8700,28050
Oklahoma,single,0.0525,Inf,Inf
Oklahoma,joint,0.005,2000,2000
Oklahoma,joint,0.01,5000,7000
Oklahoma,joint,0.02,7500,14500
Oklahoma,joint,0.03,9800,24300
Oklahoma,joint,0.04,12200,36500
Oklahoma,joint,0.05,15000,51500
Oklahoma,joint,0.0525,Inf,Inf
Oregon,single,0.05,3300,3300
Oregon,single,0.07,8250,11550
Oregon,single,0.09,125000,136550
Oregon,single,0.099,Inf,Inf
Oregon,joint,0.05,6500,6500
Oregon,joint,0.07,16300,22800
Oregon,joint,0.09,250000,272800
Oregon,joint,0.099,Inf,Inf
Pennsylvania,single,0.0307,Inf,Inf
Pennsylvania,joint,0.0307,Inf,Inf
Rhode Island,single,0.0375,59600,59600
Rhode Island,single,0.0475,135500,195100
Rhode Island,single,0.0599,Inf,Inf
Rhode Island,joint,0.0375,59600,59600
Rhode Island,joint,0.0475,135500,195100
Rhode Island,joint,0.0599,Inf,Inf
South Dakota,single,0,Inf,Inf
South Dakoa,joint,0,Inf,Inf
South Carolina,single,0,2880,2880
South Carolina,single,0.03,5760,8640
South Carolina,single,0.04,8640,17280
South Carolina,single,0.05,11520,28800
