"age" "gross" "net" "pens" "ss" "tspT_bal" "tspR_bal" "tradIRA_bal" "rothIRA_bal" "hsa_bal" "tax_bal" "avail" "efc" "mortgage"
"23" 61 45000 40710 11731.4348446101 0 107791.118043517 0 0 705573.506154112 153984.152488991 0 813364.624197629 3883.0075 0
"24" 62 45000 40710 11445.3022874244 0 77948.2413474889 0 0 740852.181461817 161683.36011344 0 818800.422809306 3883.0075 0
"25" 63 45000 40710 11445.3022874244 16090.8096 63508.570896659 0 0 777894.790534908 169767.528119112 0 841403.361431567 3883.0075 0
"26" 64 45000 40710 11445.3022874244 16090.8096 48346.9169232876 0 0 816789.530061654 178255.904525068 0 865136.446984941 3883.0075 0
"27" 65 45000 40710 11445.3022874244 16090.8096 32427.1802512477 0 0 857629.006564736 187168.699751321 0 1077224.88656731 3883.0075 0
"28" 66 45000 40710 11445.3022874244 16090.8096 15711.4567456057 0 0 900510.456892973 196527.134738887 0 1112749.04837747 3883.0075 0
"29" 67 45000 40710 11445.3022874244 16090.8096 0 0 0 945535.979737622 204513.438540513 0 1150049.41827814 3883.0075 0
"30" 68 45000 40710 11445.3022874244 16090.8096 0 0 0 992812.778724503 196402.027949335 0 1189214.80667384 3883.0075 0
"31" 69 45000 40710 11445.3022874244 16090.8096 0 0 0 1042453.41766073 187885.046828597 0 1230338.46448933 3883.0075 0
"32" 70 45000 40710 11445.3022874244 16090.8096 0 0 0 1094576.08854376 178942.216651823 0 1273518.30519559 3883.0075 0
"33" 71 45000 40710 11445.3022874244 16090.8096 0 0 0 1149304.89297095 169552.244966209 0 1318857.13793716 3883.0075 0
"34" 72 45000 40710 11445.3022874244 16090.8096 0 0 0 1206770.1376195 159692.774696315 0 1366462.91231582 3883.0075 0
"35" 73 45000 40710 11445.3022874244 16090.8096 0 0 0 1267108.64450048 149340.330912927 0 1416448.9754134 3883.0075 0
"36" 74 45000 40710 11445.3022874244 16090.8096 0 0 0 1330464.0767255 138470.264940369 0 1468934.34166587 3883.0075 0
"37" 75 45000 40710 11445.3022874244 16090.8096 0 0 0 1396987.28056177 127056.695669183 0 1524043.97623096 3883.0075 0
"38" 76 45000 40710 11445.3022874244 16090.8096 0 0 0 1466836.64458986 115072.447934438 0 1581909.0925243 3883.0075 0
"39" 77 45000 40710 11445.3022874244 16090.8096 0 0 0 1540178.47681936 102488.987812955 0 1642667.46463231 3883.0075 0
"40" 78 45000 40710 11445.3022874244 16090.8096 0 0 0 1617187.40066032 89276.3546853989 0 1706463.75534572 3883.0075 0
"41" 79 45000 40710 11445.3022874244 16090.8096 0 0 0 1698046.77069334 75403.0899014645 0 1773449.86059481 3883.0075 0
"42" 80 45000 40710 11445.3022874244 16090.8096 0 0 0 1782949.10922801 60836.1618783334 0 1843785.27110634 3883.0075 0
"43" 81 45000 40710 11445.3022874244 16090.8096 0 0 0 1872096.56468941 45540.8874540457 0 1917637.45214345 3883.0075 0
"44" 82 45000 40710 11445.3022874244 16090.8096 0 0 0 1965701.39292388 29480.8493085437 0 1995182.24223242 3883.0075 0
"45" 83 45000 40710 11445.3022874244 16090.8096 0 0 0 2063986.46257007 12617.8092557665 0 2076604.27182584 3883.0075 0
"46" 84 45000 41436.9118285214 11445.3022874244 16090.8096 0 0 0 2162097.40289893 0 0 2162097.40289893 4064.73545713034 0
"47" 85 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 2251865.19052567 0 0 2251865.19052567 4526.31145526469 0
"48" 86 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 2346121.36753375 0 0 2346121.36753375 4526.31145526469 0
"49" 87 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 2445090.35339223 0 0 2445090.35339223 4526.31145526469 0
